# file	line	col	rule
# one row per t/check_wf.py RULES key a malformed .t file in this directory can trigger (ROADMAP 14.2, the well-formedness side); t/test_wf_errors.py checks every row against surface.check_file(file). Keys with no row here are grammar-unreachable -- see the UNREACHABLE table in the generator this file was built from (t/test_wf_errors.py's own docstring names them and why).
wf-arith-int.t	3	10	arith-int
wf-assign-target.t	3	3	assign-target
wf-assign-type.t	3	3	assign-type
wf-at-types.t	3	9	at-types
wf-bool-cond.t	3	3	bool-cond
wf-bool-lit-v1.t	1	45	bool-lit-v1
wf-bool-op.t	4	6	bool-op
wf-call-argtype.t	4	8	call-argtype
wf-call-arity.t	4	8	call-arity
wf-call-unknown.t	3	8	call-unknown
wf-cmp-int.t	1	45	cmp-int
wf-decreases-selfcall.t	1	1	decreases-selfcall
wf-ensures-bool.t	1	45	ensures-bool
wf-ensures-nonempty.t	1	1	ensures-nonempty
wf-eq-types.t	3	8	eq-types
wf-fill-types.t	3	8	fill-types
wf-ite-branches.t	3	8	ite-branches
wf-len-nonseq.t	3	8	len-nonseq
wf-local-shadow.t	3	3	local-shadow
wf-local-v0.t	3	3	local-v0
wf-loop-decreases.t	4	3	loop-decreases
wf-loop-invariant-bool.t	4	3	loop-invariant-bool
wf-no-self-in-ensures.t	1	1	no-self-in-ensures
wf-op-unknown.t	3	10	op-unknown
wf-pair-types.t	2	10	pair-types
wf-proj-nonpair.t	3	9	proj-nonpair
wf-quant-body.t	1	45	quant-body
wf-quant-bounds.t	1	45	quant-bounds
wf-quant-shadow.t	1	45	quant-shadow
wf-requires-bool.t	1	46	requires-bool
wf-return-unreachable.t	3	3	return-unreachable
wf-return-v0.t	3	3	return-v0
wf-seq-lit-mixed.t	3	8	seq-lit-mixed
wf-slice-types.t	3	9	slice-types
wf-spec-fun-body-type.t	2	1	spec-fun-body-type
wf-spec-fun-decreases-int.t	2	1	spec-fun-decreases-int
wf-strlib-types.t	3	9	strlib-types
wf-unbound.t	3	8	unbound
wf-update-types.t	3	9	update-types
wf-v0-frozen.t	1	1	v0-frozen
wf-v0-int-only.t	1	1	v0-int-only
wf-v1-expr-v0.t	3	8	v1-expr-v0
wf-while-v0.t	3	3	while-v0
