task	problem	operator	written by	file
apps_124__search	200124	negate-cond	qwen2.5-coder-14b-apps-s1	pairs/apps_124__search.7042de3e6ac4bf85.json
apps_124__search	200124	collapse-if	qwen2.5-coder-14b-apps-s1	pairs/apps_124__search.e49011e3d22c3fa1.json
apps_2425__countSegments	202425	wrong-constant	qwen2.5-coder-14b-apps-s1	pairs/apps_2425__countSegments.1ebef08bec149da7.json
apps_2425__countSegments	202425	wrong-constant#1	qwen2.5-coder-14b-apps-s1	pairs/apps_2425__countSegments.eca4c66e4194a5d9.json
apps_2465__divisorGame	202465	collapse-if#1	qwen3-coder-30b-apps-s2	pairs/apps_2465__divisorGame.3e0e7a3d2d0b3c3e.json
apps_2465__divisorGame	202465	collapse-if	qwen3-coder-30b-apps-s2	pairs/apps_2465__divisorGame.f42ed8ae51178f59.json
apps_2510__canWinNim	202510	off-by-one	qwen3-coder-30b-apps-s2	pairs/apps_2510__canWinNim.14984d52572448fc.json
apps_2510__canWinNim	202510	off-by-one#1	qwen3-coder-30b-apps-s2	pairs/apps_2510__canWinNim.c2d207162fa819db.json
apps_2527__getSum	202527	wrong-var	qwen2.5-coder-14b-apps-s1	pairs/apps_2527__getSum.2311203b1cd349d9.json
apps_2527__getSum	202527	wrong-var#1	qwen2.5-coder-14b-apps-s1	pairs/apps_2527__getSum.927d7cfb2406169b.json
apps_2930__summation	202930	compare-flip	qwen3-coder-30b-apps-s2	pairs/apps_2930__summation.611e42a8f7de668a.json
apps_2930__summation	202930	boundary-swap	qwen3-coder-30b-apps-s2	pairs/apps_2930__summation.6442e880c475d743.json
apps_2933__solve	202933	compare-flip	qwen2.5-coder-14b-apps-s1	pairs/apps_2933__solve.45f06537876a5418.json
apps_2933__solve	202933	boundary-swap	qwen2.5-coder-14b-apps-s1	pairs/apps_2933__solve.d12d78ad3d43b0f0.json
apps_2935__is_vowel	202935	collapse-if#1	qwen3-coder-30b-apps-s2	pairs/apps_2935__is_vowel.4af6c22bda8843a4.json
apps_2935__is_vowel	202935	collapse-if	qwen3-coder-30b-apps-s2	pairs/apps_2935__is_vowel.f067a30e68938da1.json
apps_2992__switcheroo	202992	boundary-swap	qwen2.5-coder-14b-apps-s1	pairs/apps_2992__switcheroo.ecfdd1dfb8e36990.json
apps_2992__switcheroo	202992	compare-flip	qwen2.5-coder-14b-apps-s1	pairs/apps_2992__switcheroo.ee94b6c8ad219814.json
apps_3252__is_letter	203252	collapse-if#1	qwen3-coder-30b-apps-s2	pairs/apps_3252__is_letter.2ebc8269e5d87520.json
apps_3252__is_letter	203252	collapse-if	qwen3-coder-30b-apps-s2	pairs/apps_3252__is_letter.4403afd174724c32.json
apps_3286__enough	203286	off-by-one#1	qwen2.5-coder-14b-apps-s1	pairs/apps_3286__enough.3585c14cdcdff074.json
apps_3286__enough	203286	off-by-one	qwen2.5-coder-14b-apps-s1	pairs/apps_3286__enough.80efdd59abafd6e5.json
apps_3369__move	203369	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_3369__move.114b320fc15217c2.json
